home_team,away_team,home_possession,away_possession,home_xg,away_xg,home_shots_per_ninety,away_shots_per_ninety,home_pass_accuracy,away_pass_accuracy,home_form,away_form,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,home_injuries,away_injuries,home_advantage,goal_difference_average,result
Crystal Palace,Aston Villa,38.2,61.8,2.49,2.01,21.6,16.8,86.9,86.3,2.79,2.28,0.22,0.34,0.44,1,5,0.69,-0.87,D
Tottenham,Chelsea,65.1,34.9,1.99,0.98,14.2,12.5,86.6,70.0,1.45,2.22,0.19,0.14,0.67,4,2,1.03,2.11,H
Man United,Aston Villa,65.4,34.6,2.67,2.43,12.1,16.3,88.1,78.3,0.97,2.23,0.21,0.3,0.49,5,3,1.47,1.62,H
Fulham,Liverpool,61.7,38.3,0.53,1.48,14.4,13.7,85.4,80.9,2.61,2.66,0.15,0.17,0.68,0,4,1.38,0.53,D
Luton,Brighton,57.4,42.6,1.96,1.32,17.8,13.4,74.3,69.0,0.88,2.79,0.16,0.17,0.67,4,1,0.89,-0.33,D
Burnley,Wolves,55.6,44.4,2.17,2.25,17.2,15.8,84.3,88.7,1.42,2.09,0.21,0.23,0.56,1,2,0.6,1.09,A
Burnley,Fulham,39.8,60.2,1.13,2.43,21.3,15.7,73.8,72.7,2.21,2.73,0.13,0.2,0.67,1,4,0.71,1.73,A
Burnley,Newcastle,55.6,44.4,2.37,0.81,18.8,15.3,83.9,74.1,2.96,2.77,0.37,0.34,0.29,0,5,1.37,-1.41,H
Fulham,Brighton,55.7,44.3,0.54,0.88,9.8,10.5,74.3,69.4,1.79,1.33,0.4,0.24,0.36,1,4,0.54,1.52,H
Bournemouth,West Ham,51.7,48.3,2.72,0.43,14.7,10.2,85.7,78.8,2.8,0.67,0.14,0.28,0.58,0,1,0.78,0.85,H
Burnley,Brentford,49.4,50.6,1.87,0.95,15.1,10.6,87.9,70.5,2.24,2.52,0.38,0.36,0.26,3,3,1.39,-0.14,H
Everton,Crystal Palace,50.5,49.5,0.72,1.24,17.3,9.9,75.1,88.3,0.95,2.41,0.15,0.13,0.72,5,2,1.31,0.5,D
Sheffield United,Burnley,54.9,45.1,2.04,1.2,20.2,17.2,80.5,88.1,0.91,1.16,0.26,0.13,0.61,4,1,0.65,0.17,D
Chelsea,Fulham,63.4,36.6,1.35,1.98,16.0,15.5,88.9,89.4,2.6,1.91,0.42,0.11,0.47,5,5,0.77,-1.19,D
West Ham,Brentford,48.5,51.5,0.92,0.62,17.2,5.9,86.8,89.4,1.0,1.72,0.29,0.24,0.47,1,2,0.81,-0.54,H
Sheffield United,Liverpool,64.5,35.5,0.86,1.96,8.7,6.1,80.9,77.3,2.14,1.45,0.21,0.25,0.54,2,3,0.61,1.05,D
Sheffield United,Nottm Forest,53.8,46.2,1.21,0.79,21.8,5.7,76.1,88.8,2.49,2.26,0.24,0.14,0.62,3,5,0.93,-1.42,H
Burnley,Brighton,53.0,47.0,2.42,2.07,9.0,16.2,72.8,68.4,2.83,2.48,0.39,0.27,0.34,5,5,0.92,-1.48,A
Man City,Brentford,43.2,56.8,2.68,1.31,17.7,9.7,80.7,70.3,1.76,1.42,0.14,0.36,0.5,5,2,0.72,1.51,H
Liverpool,Bournemouth,57.0,43.0,1.72,0.73,18.9,9.6,91.2,82.2,1.12,0.74,0.23,0.15,0.62,1,5,0.58,2.28,H
Nottm Forest,Everton,60.6,39.4,2.25,1.29,20.9,12.3,84.7,81.7,2.7,1.94,0.18,0.12,0.7,3,5,0.8,-0.76,H
Arsenal,Fulham,53.2,46.8,1.21,1.29,8.8,15.8,73.5,87.0,2.68,1.91,0.35,0.24,0.41,4,5,1.4,0.02,H
Sheffield United,Newcastle,47.6,52.4,1.59,0.63,8.9,6.3,90.0,75.6,2.37,1.66,0.19,0.17,0.64,3,3,1.02,0.74,A
Fulham,Luton,65.5,34.5,1.39,2.0,17.5,5.7,84.6,75.4,1.53,1.78,0.29,0.18,0.53,5,4,1.37,-0.5,D
Sheffield United,Tottenham,65.5,34.5,1.21,1.74,17.3,6.7,86.2,69.9,2.03,1.98,0.26,0.14,0.6,5,5,1.5,2.11,H
Liverpool,Wolves,53.3,46.7,0.54,0.98,21.3,9.4,87.3,72.2,3.0,0.86,0.25,0.34,0.41,4,4,1.34,1.98,H
Arsenal,Brentford,64.3,35.7,1.92,1.61,10.2,7.4,85.9,81.7,2.79,2.16,0.12,0.21,0.67,5,1,1.47,0.75,D
Everton,Brighton,54.0,46.0,1.21,2.08,14.6,15.9,79.4,88.8,2.97,1.56,0.24,0.21,0.55,4,3,1.47,1.68,D
Luton,Tottenham,64.2,35.8,0.62,1.36,13.2,17.1,86.2,79.4,1.07,0.69,0.18,0.23,0.59,4,1,1.33,-1.59,A
Brighton,Everton,64.5,35.5,2.64,1.21,13.6,9.9,79.7,69.8,1.29,1.23,0.15,0.31,0.54,2,1,0.64,-0.71,H
Nottm Forest,Tottenham,60.8,39.2,1.58,1.65,20.7,5.2,76.3,71.3,2.87,1.9,0.31,0.33,0.36,1,2,0.62,-0.93,H
Luton,Everton,39.9,60.1,2.42,1.4,15.5,13.2,83.5,83.8,1.44,0.5,0.28,0.27,0.45,1,5,1.17,0.36,H
Fulham,Liverpool,66.6,33.4,1.75,2.03,15.1,5.3,89.5,69.0,1.65,1.36,0.47,0.21,0.32,0,2,0.74,0.96,H
Chelsea,Sheffield United,60.1,39.9,1.26,0.4,15.6,15.6,75.5,85.1,1.82,2.1,0.42,0.34,0.24,0,5,1.28,0.06,H
West Ham,Newcastle,39.3,60.7,0.96,0.39,21.1,11.7,91.8,79.9,1.36,2.23,0.2,0.21,0.59,0,5,0.83,-1.44,H
Fulham,Wolves,64.7,35.3,2.21,2.27,13.4,17.7,81.9,78.9,2.83,1.69,0.5,0.32,0.18,0,3,1.1,1.7,H
Burnley,West Ham,47.6,52.4,0.68,1.75,12.3,12.8,80.5,83.2,1.57,0.6,0.54,0.21,0.25,3,2,1.14,1.56,D
Arsenal,Liverpool,58.1,41.9,1.43,1.43,18.5,7.1,72.6,86.7,2.29,1.51,0.16,0.17,0.67,5,2,0.86,2.27,D
Arsenal,Tottenham,58.4,41.6,2.68,1.12,18.7,12.5,82.6,76.8,2.23,1.07,0.16,0.32,0.52,3,4,0.89,0.53,D
Aston Villa,Luton,59.1,40.9,0.99,1.65,17.7,18.0,76.0,71.0,0.96,0.9,0.46,0.4,0.14,5,2,1.17,1.19,D
Burnley,Luton,46.7,53.3,1.19,0.65,17.9,14.1,75.5,76.0,1.29,2.77,0.5,0.17,0.33,3,0,0.86,0.58,D
Everton,Burnley,41.9,58.1,2.53,0.44,13.6,14.3,81.6,77.0,1.7,1.82,0.16,0.2,0.64,0,3,0.97,0.33,H
Tottenham,Burnley,57.2,42.8,0.92,2.43,14.1,16.8,73.1,70.7,1.14,0.88,0.26,0.31,0.43,2,4,1.39,1.81,D
Aston Villa,Newcastle,57.1,42.9,1.77,0.58,12.2,11.9,82.1,71.7,2.87,0.85,0.43,0.32,0.25,4,2,1.34,0.54,D
Man City,Liverpool,39.4,60.6,1.98,1.57,17.1,15.0,80.3,82.1,1.9,1.94,0.24,0.39,0.37,3,1,1.3,1.08,D
West Ham,Everton,40.2,59.8,0.64,1.27,14.8,7.7,84.1,74.9,2.38,2.19,0.53,0.39,0.08,1,2,1.01,-1.52,A
Brighton,Everton,41.7,58.3,1.53,0.61,8.7,17.3,89.3,77.2,2.92,2.58,0.51,0.38,0.11,5,2,0.69,-1.28,A
Bournemouth,Everton,53.0,47.0,1.21,0.35,21.2,11.6,91.3,72.7,1.58,0.62,0.35,0.36,0.29,5,5,0.97,0.42,H
Chelsea,Wolves,42.0,58.0,1.11,1.1,13.6,5.6,73.0,80.4,1.6,1.16,0.29,0.24,0.47,4,2,1.33,0.8,D
Luton,Chelsea,41.9,58.1,0.72,1.12,21.8,12.3,79.3,71.2,2.13,1.42,0.12,0.11,0.77,5,2,1.3,0.34,H
Tottenham,Bournemouth,42.2,57.8,2.64,1.0,13.5,13.0,88.9,81.1,1.92,1.67,0.34,0.27,0.39,3,0,0.87,1.03,H
Wolves,Sheffield United,47.2,52.8,2.57,2.22,16.8,12.8,77.3,82.4,2.94,1.83,0.21,0.12,0.67,3,1,1.02,1.25,H
Crystal Palace,Tottenham,62.6,37.4,1.06,1.56,17.8,7.5,80.8,77.2,1.71,0.97,0.35,0.28,0.37,3,5,1.23,1.18,H
Bournemouth,Newcastle,54.8,45.2,2.8,1.35,13.3,17.4,81.2,79.7,2.0,2.05,0.53,0.3,0.17,5,2,1.11,-1.13,A
Brighton,Aston Villa,54.7,45.3,1.02,2.44,12.2,8.8,76.1,83.5,1.5,1.3,0.57,0.34,0.09,2,2,0.62,1.04,D
Crystal Palace,Luton,62.6,37.4,2.7,2.07,12.1,8.7,86.3,75.6,1.77,1.09,0.34,0.16,0.5,4,2,1.43,1.13,H
Tottenham,Chelsea,56.5,43.5,1.85,0.83,17.4,11.9,84.8,69.2,1.71,2.15,0.15,0.33,0.52,0,4,1.48,-1.29,H
Nottm Forest,Luton,57.5,42.5,2.24,0.93,12.0,5.8,87.4,82.4,1.31,2.2,0.53,0.11,0.36,1,3,1.38,-1.21,H
Arsenal,Crystal Palace,61.6,38.4,0.93,1.95,20.2,8.8,72.7,74.6,2.13,2.64,0.27,0.24,0.49,5,4,1.02,2.0,D
Tottenham,Bournemouth,52.0,48.0,0.94,0.55,10.3,11.0,77.1,72.1,2.42,2.32,0.38,0.33,0.29,1,4,1.36,2.04,H
Wolves,Bournemouth,47.8,52.2,1.42,0.51,21.7,11.2,90.7,68.2,1.64,1.53,0.23,0.2,0.57,4,5,1.07,-0.82,A
Fulham,Brighton,39.9,60.1,0.77,0.97,13.7,11.5,89.9,83.5,1.48,0.77,0.56,0.19,0.25,4,1,0.72,-1.4,D
Tottenham,Everton,60.4,39.6,1.89,1.21,15.7,11.1,82.8,82.6,1.28,1.07,0.48,0.36,0.16,0,4,0.95,1.17,H
Liverpool,Sheffield United,41.4,58.6,2.41,2.29,10.8,12.0,75.3,86.8,1.77,2.06,0.46,0.25,0.29,4,3,1.31,0.04,D
Bournemouth,Wolves,51.7,48.3,0.63,1.32,19.3,14.4,79.9,86.0,2.44,1.83,0.12,0.2,0.68,0,4,1.49,2.21,D
Liverpool,Nottm Forest,39.0,61.0,1.44,1.99,18.7,17.7,84.9,77.2,2.98,1.38,0.53,0.37,0.1,3,0,1.18,0.98,H
Burnley,Tottenham,57.6,42.4,1.3,0.69,15.5,11.9,86.6,72.9,0.81,0.55,0.25,0.3,0.45,4,3,1.03,1.71,D
Brighton,Everton,48.4,51.6,1.13,2.36,18.2,6.5,88.2,77.2,2.49,2.53,0.11,0.16,0.73,0,4,0.53,0.69,D
Arsenal,Brighton,60.2,39.8,1.43,0.82,11.0,16.2,73.1,79.1,1.44,2.38,0.47,0.2,0.33,4,5,1.32,-0.93,H
Tottenham,Bournemouth,44.6,55.4,1.19,0.43,21.3,16.4,90.2,81.8,1.74,1.64,0.59,0.38,0.03,5,3,1.29,-0.57,A
Wolves,Luton,42.5,57.5,1.37,1.96,14.6,16.0,78.0,83.6,2.57,2.6,0.38,0.39,0.23,4,4,0.63,-0.91,A
Newcastle,Brentford,57.4,42.6,2.62,2.16,9.3,14.4,75.8,73.9,2.28,1.89,0.54,0.16,0.3,4,5,1.17,-1.02,H
Newcastle,Brentford,47.1,52.9,2.59,0.77,10.7,14.6,86.9,84.6,2.81,2.1,0.45,0.22,0.33,1,4,0.82,-0.73,H
Everton,Burnley,57.5,42.5,1.21,1.09,20.4,11.1,88.1,83.9,2.48,1.24,0.2,0.19,0.61,0,4,1.36,1.34,D
Man City,Aston Villa,54.6,45.4,1.84,1.88,12.1,7.6,76.6,80.5,1.34,1.77,0.57,0.2,0.23,3,5,1.14,0.21,D
Man United,Fulham,43.1,56.9,2.16,1.37,20.8,12.0,84.8,69.3,0.87,2.45,0.57,0.3,0.13,0,3,0.64,0.84,A
Liverpool,Tottenham,38.3,61.7,1.66,1.12,16.6,13.7,84.3,78.6,1.87,0.52,0.38,0.1,0.52,4,5,0.77,2.4,H
Man City,Bournemouth,62.4,37.6,2.05,2.07,20.7,6.4,73.9,71.3,1.22,1.71,0.51,0.18,0.31,3,0,0.87,-0.17,A
Sheffield United,Brighton,67.7,32.3,1.02,1.8,19.9,13.5,89.2,84.7,1.01,1.37,0.38,0.12,0.5,0,5,0.67,0.25,H
Wolves,Brentford,55.0,45.0,2.47,0.51,15.4,5.6,76.2,87.1,2.75,1.59,0.12,0.12,0.76,2,4,1.06,-1.85,H
Brentford,Man City,66.8,33.2,1.85,1.95,18.0,10.2,73.5,71.6,1.33,2.42,0.29,0.37,0.34,2,3,1.26,-1.37,D
Liverpool,Bournemouth,60.4,39.6,1.3,0.51,11.3,6.0,84.1,81.5,2.11,2.73,0.26,0.29,0.45,3,3,0.73,0.49,H
Crystal Palace,Wolves,43.6,56.4,1.85,1.14,18.8,8.8,76.9,69.6,1.39,1.37,0.49,0.15,0.36,3,2,0.86,-1.59,A
West Ham,Everton,48.8,51.2,1.12,0.59,10.6,10.8,83.1,77.0,0.86,1.31,0.15,0.28,0.57,2,3,0.51,-0.14,D
Liverpool,Burnley,65.2,34.8,2.75,1.56,10.4,9.9,74.8,74.6,1.88,0.65,0.32,0.23,0.45,3,0,0.86,2.25,H
Nottm Forest,Newcastle,51.7,48.3,0.81,0.31,13.5,15.9,79.6,87.0,1.77,1.49,0.51,0.3,0.19,4,1,0.8,0.71,A
Newcastle,Nottm Forest,47.4,52.6,2.72,2.43,12.1,14.0,81.8,80.7,1.33,1.36,0.51,0.22,0.27,0,4,0.7,2.49,H
Man United,Burnley,38.8,61.2,2.17,2.37,10.9,15.4,88.6,69.5,2.67,2.33,0.44,0.14,0.42,2,1,0.75,-1.31,D
Wolves,Crystal Palace,40.2,59.8,2.78,1.35,13.6,11.6,90.4,83.2,2.0,2.32,0.28,0.37,0.35,4,4,1.14,-1.62,H
Brighton,Fulham,43.0,57.0,1.91,1.54,17.0,13.4,91.3,75.3,2.55,0.74,0.15,0.17,0.68,5,4,1.06,1.09,D
Brighton,Everton,49.2,50.8,1.57,1.8,17.7,7.0,92.0,78.6,1.45,2.62,0.14,0.35,0.51,5,1,0.85,-0.46,A
Newcastle,Bournemouth,52.5,47.5,1.6,1.26,17.8,9.1,78.0,85.8,1.05,2.45,0.42,0.3,0.28,1,5,0.74,-1.21,D
Man United,Brentford,54.8,45.2,2.7,0.81,13.7,7.4,84.8,77.5,0.86,1.91,0.2,0.28,0.52,3,0,1.2,-1.07,H
Liverpool,Sheffield United,41.1,58.9,2.51,0.71,12.6,10.9,77.2,87.0,1.96,1.97,0.4,0.28,0.32,4,0,0.85,1.8,H
Luton,Man United,62.4,37.6,2.12,0.95,16.6,6.1,74.7,70.6,1.47,0.92,0.45,0.25,0.3,3,4,0.64,-0.27,H
Man United,Nottm Forest,57.1,42.9,2.09,1.72,22.0,12.2,81.8,71.1,1.49,1.54,0.13,0.21,0.66,0,3,0.64,1.67,D
Burnley,Bournemouth,57.6,42.4,1.44,1.38,17.9,10.8,75.3,80.4,2.55,1.01,0.12,0.17,0.71,2,1,1.28,0.55,H
Nottm Forest,Burnley,53.3,46.7,1.82,0.89,15.6,17.9,82.8,84.6,2.47,1.52,0.21,0.23,0.56,5,5,1.25,-0.66,H
Arsenal,Everton,45.9,54.1,2.48,0.49,20.1,6.5,88.2,72.6,2.42,2.09,0.53,0.28,0.19,3,1,1.12,1.53,H
Newcastle,Arsenal,55.1,44.9,1.72,1.61,10.4,17.7,77.9,80.6,2.9,1.68,0.55,0.34,0.11,1,3,1.42,2.47,H
Tottenham,Luton,45.5,54.5,2.14,2.12,18.7,13.8,81.8,80.7,1.39,1.45,0.33,0.29,0.38,0,3,1.02,-0.75,D
Fulham,Everton,66.5,33.5,1.25,0.31,18.8,14.5,86.6,78.1,2.26,1.32,0.13,0.26,0.61,1,3,1.32,0.23,H
Brentford,West Ham,48.1,51.9,1.83,1.55,14.8,9.5,85.7,69.1,1.02,2.3,0.33,0.14,0.53,1,3,0.96,2.46,H
Wolves,Newcastle,67.9,32.1,2.59,2.24,12.2,16.4,89.5,70.1,1.59,0.69,0.43,0.29,0.28,0,3,1.13,1.27,H
Brighton,Wolves,57.7,42.3,2.12,0.3,14.7,6.7,76.5,83.0,0.82,2.1,0.51,0.4,0.09,3,5,0.63,-1.68,H
Crystal Palace,Liverpool,59.9,40.1,0.74,0.99,20.3,6.8,87.5,84.6,1.09,2.78,0.17,0.26,0.57,0,4,1.15,-0.02,H
Newcastle,Tottenham,65.6,34.4,1.92,1.27,11.0,16.7,74.8,70.7,2.41,1.31,0.31,0.34,0.35,1,2,1.14,-0.88,H
Luton,West Ham,61.4,38.6,2.09,2.17,17.2,8.9,82.4,79.2,2.45,1.18,0.13,0.37,0.5,1,3,0.89,-0.92,H
Luton,Liverpool,53.8,46.2,2.75,2.47,21.1,6.7,89.2,80.5,1.6,2.07,0.48,0.39,0.13,0,0,1.09,-1.94,D
Newcastle,Arsenal,65.7,34.3,2.68,1.18,12.0,14.3,87.3,77.3,1.69,1.97,0.37,0.15,0.48,0,2,0.58,2.14,H
Tottenham,Burnley,47.8,52.2,1.85,1.98,17.1,13.4,78.2,77.6,2.9,1.05,0.22,0.38,0.4,0,3,1.11,-1.75,H
Man United,Chelsea,38.4,61.6,0.82,0.32,14.9,9.5,82.3,86.1,1.37,1.36,0.47,0.36,0.17,5,0,1.27,-1.87,A
Wolves,Aston Villa,53.7,46.3,1.1,2.45,16.8,11.4,82.2,69.2,2.69,0.88,0.18,0.33,0.49,4,5,1.22,-0.97,A
Bournemouth,Man City,39.3,60.7,2.48,0.84,14.6,10.0,75.0,88.5,2.69,1.77,0.56,0.32,0.12,3,1,0.82,-0.13,D
Brentford,Aston Villa,62.8,37.2,1.81,0.56,17.4,5.7,76.5,79.3,0.9,1.42,0.54,0.36,0.1,2,2,0.59,0.06,D
Fulham,Newcastle,46.7,53.3,2.3,1.93,11.4,9.8,91.4,90.0,2.51,2.18,0.37,0.34,0.29,1,0,1.43,-1.89,D
Burnley,Fulham,57.1,42.9,2.09,0.32,12.7,14.9,79.5,84.2,1.48,0.97,0.59,0.23,0.18,0,1,1.21,-1.58,H
Brighton,Bournemouth,50.4,49.6,2.56,1.31,18.5,12.6,82.1,82.0,1.67,1.86,0.13,0.3,0.57,1,1,0.79,1.83,H
Crystal Palace,Brentford,47.5,52.5,1.13,0.46,10.8,15.1,83.7,71.4,1.16,1.57,0.3,0.26,0.44,1,3,0.81,-0.81,H
