home_team,away_team,home_possession,away_possession,home_expected goals,away_expected goals,home_shots_per_ninety,away_shots_per_ninety,home_pass_accuracy,away_pass_accuracy,home_form,away_form,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,home_injuries,away_injuries,home_advantage,goal_difference_average,result
Liverpool,PSG,58,60,1.7,1.8,14,15,86,88,0.7,0.7,0.4,0.3,0.3,1,1,1,-0.1,draw
Liverpool,Bayern,58,62,1.6,1.9,14,16,86,89,0.7,0.8,0.4,0.3,0.3,1,1,1,-0.3,away_win
ManCity,Tottenham,65,52,2.2,1.2,18,10,91,83,0.9,0.6,0.6,0.2,0.2,1,2,1,1.0,home_win
ManCity,Barcelona,65,64,2.0,1.9,17,16,91,89,0.9,0.8,0.5,0.3,0.2,1,1,1,0.1,home_win
ManCity,RealMadrid,65,63,2.0,1.8,17,15,91,88,0.9,0.8,0.5,0.3,0.2,1,1,1,0.2,home_win
ManCity,PSG,65,60,2.1,1.8,18,15,91,88,0.9,0.7,0.5,0.3,0.2,1,1,1,0.3,home_win
ManCity,Bayern,65,62,2.0,1.9,17,16,91,89,0.9,0.8,0.5,0.3,0.2,1,1,1,0.1,home_win
Tottenham,Barcelona,52,64,1.2,1.9,10,16,83,89,0.6,0.8,0.3,0.3,0.4,2,1,1,-0.7,away_win
Tottenham,RealMadrid,52,63,1.2,1.8,10,15,83,88,0.6,0.8,0.3,0.3,0.4,1,1,1,-0.6,away_win
Tottenham,PSG,52,60,1.3,1.8,11,15,83,88,0.6,0.7,0.3,0.3,0.4,1,1,1,-0.5,away_win
Tottenham,Bayern,52,62,1.2,1.9,10,16,83,89,0.6,0.8,0.3,0.3,0.4,1,1,1,-0.6,away_win
Barcelona,RealMadrid,64,63,1.9,1.8,16,15,89,88,0.8,0.8,0.5,0.3,0.2,1,1,1,0.1,home_win
Barcelona,PSG,64,60,1.9,1.8,16,15,89,88,0.8,0.7,0.5,0.3,0.2,1,1,1,0.2,home_win
Barcelona,Bayern,64,62,1.9,1.9,16,16,89,89,0.8,0.8,0.5,0.3,0.2,1,1,1,0.0,draw
RealMadrid,PSG,63,60,1.8,1.8,15,15,88,88,0.8,0.7,0.5,0.3,0.2,1,1,1,0.0,draw
RealMadrid,Bayern,63,62,1.8,1.9,15,16,88,89,0.8,0.8,0.5,0.3,0.2,1,1,1,-0.1,away_win
PSG,Bayern,60,62,1.8,1.9,15,16,88,89,0.7,0.8,0.5,0.3,0.2,1,1,1,-0.1,away_win
